,,,,,,,
,RTP,P6,,RTP · May 2026 · FM & SM,icai/rtp/p6-may2026.pdf,,Latest
,QP,P4,,QP & Suggested · May 2024 · Costing,icai/qp/p4-may2024.pdf,,
,QP,P5,,QP & Suggested · May 2024 · Audit & Ethics,icai/qp/p5-may2024.pdf,,
,QP,P6,,QP & Suggested · May 2024 · FM & SM,icai/qp/p6-may2024.pdf,,
,QP,P4,,QP & Suggested · Sep 2024 · Costing,icai/qp/p4-sep2024.pdf,,
,QP,P5,,QP & Suggested · Sep 2024 · Audit & Ethics,icai/qp/p5-sep2024.pdf,,
,QP,P6,,QP & Suggested · Sep 2024 · FM & SM,icai/qp/p6-sep2024.pdf,,
,QP,P4,,QP & Suggested · Jan 2025 · Costing,icai/qp/p4-jan2025.pdf,,
,QP,P5,,QP & Suggested · Jan 2025 · Audit & Ethics,icai/qp/p5-jan2025.pdf,,
,QP,P6,,QP & Suggested · Jan 2025 · FM & SM,icai/qp/p6-jan2025.pdf,,
,QP,P4,,QP & Suggested · May 2025 · Costing,icai/qp/p4-may2025.pdf,,
,QP,P5,,QP & Suggested · May 2025 · Audit & Ethics,icai/qp/p5-may2025.pdf,,
,QP,P6,,QP & Suggested · May 2025 · FM & SM,icai/qp/p6-may2025.pdf,,
,QP,P4,,QP & Suggested · Sep 2025 · Costing,icai/qp/p4-sep2025.pdf,,
,QP,P5,,QP & Suggested · Sep 2025 · Audit & Ethics,icai/qp/p5-sep2025.pdf,,
,QP,P6,,QP & Suggested · Sep 2025 · FM & SM,icai/qp/p6-sep2025.pdf,,
,QP,P4,,QP & Suggested · Jan 2026 · Costing,icai/qp/p4-jan2026.pdf,,
,QP,P5,,QP & Suggested · Jan 2026 · Audit & Ethics,icai/qp/p5-jan2026.pdf,,
,QP,P6,,QP & Suggested · Jan 2026 · FM & SM,icai/qp/p6-jan2026.pdf,,
,QP,P4,,QP & Suggested · May 2026 · Costing,icai/qp/p4-may2026.pdf,,Most recent
,QP,P5,,QP & Suggested · May 2026 · Audit & Ethics,icai/qp/p5-may2026.pdf,,Most recent
,QP,P6,,QP & Suggested · May 2026 · FM & SM,icai/qp/p6-may2026.pdf,,Most recent
